125 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.45991, 'val_kl_Loss_FC': 2e-05}
126 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.45976, 'val_kl_Loss_FC': 1e-05}
127 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.46771, 'val_kl_Loss_FC': 4e-05}
128 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.40041, 'val_kl_Loss_FC': 3e-05}
129 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.47858, 'val_kl_Loss_FC': 3e-05}
130 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.46624, 'val_kl_Loss_FC': 2e-05}
131 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.42084, 'val_kl_Loss_FC': 7e-05}
132 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.39282, 'val_kl_Loss_FC': 3e-05}
133 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.45943, 'val_kl_Loss_FC': 0.0}
134 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.3974, 'val_kl_Loss_FC': 1e-05}
135 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.30984, 'val_kl_Loss_FC': 7e-05}
136 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.40577, 'val_kl_Loss_FC': 1e-05}
137 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.4187, 'val_kl_Loss_FC': 3e-05}
138 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.36175, 'val_kl_Loss_FC': 1e-05}
139 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.42452, 'val_kl_Loss_FC': 2e-05}
140 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.42724, 'val_kl_Loss_FC': 1e-05}
141 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.33819, 'val_kl_Loss_FC': 1e-05}
142 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.50629, 'val_kl_Loss_FC': 2e-05}
143 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.33377, 'val_kl_Loss_FC': 3e-05}
144 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.37412, 'val_kl_Loss_FC': 6e-05}
145 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.4184, 'val_kl_Loss_FC': 0.0}
146 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.35324, 'val_kl_Loss_FC': 1e-05}
147 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.33085, 'val_kl_Loss_FC': 2e-05}
148 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.38347, 'val_kl_Loss_FC': 3e-05}
149 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.39229, 'val_kl_Loss_FC': 0.0}
150 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.33967, 'val_kl_Loss_FC': 6e-05}
151 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.40975, 'val_kl_Loss_FC': 3e-05}
152 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.43241, 'val_kl_Loss_FC': 1e-05}
153 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.42466, 'val_kl_Loss_FC': 4e-05}
154 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.27765, 'val_kl_Loss_FC': 3e-05}
155 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.37185, 'val_kl_Loss_FC': 2e-05}
156 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.33739, 'val_kl_Loss_FC': 4e-05}
157 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.23321, 'val_kl_Loss_FC': 1e-05}
158 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.27743, 'val_kl_Loss_FC': 1e-05}
159 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.30405, 'val_kl_Loss_FC': 5e-05}
160 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.38991, 'val_kl_Loss_FC': 2e-05}
161 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.35793, 'val_kl_Loss_FC': 0.0}
162 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.38755, 'val_kl_Loss_FC': 4e-05}
163 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.22598, 'val_kl_Loss_FC': 2e-05}
164 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.31417, 'val_kl_Loss_FC': 1e-05}
165 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 1.32133, 'val_kl_Loss_FC': 1e-05}
