161 saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 0.0}
162 saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_FC': 0.0}
163 saved {'val_OrigRecLoss': 0.00276, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_FC': 0.0}
164 not saved {'val_OrigRecLoss': 0.00277, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_FC': 0.0}
165 saved {'val_OrigRecLoss': 0.00275, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_FC': 1e-05}
166 saved {'val_OrigRecLoss': 0.00273, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
167 not saved {'val_OrigRecLoss': 0.00274, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 0.0}
168 saved {'val_OrigRecLoss': 0.00271, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 1e-05}
169 not saved {'val_OrigRecLoss': 0.00272, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
170 saved {'val_OrigRecLoss': 0.00269, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
171 saved {'val_OrigRecLoss': 0.00268, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_FC': 0.0}
172 saved {'val_OrigRecLoss': 0.00268, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
173 saved {'val_OrigRecLoss': 0.00266, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_FC': 1e-05}
174 saved {'val_OrigRecLoss': 0.00265, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 1e-05}
175 saved {'val_OrigRecLoss': 0.00264, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_FC': 0.0}
176 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_FC': 0.0}
177 saved {'val_OrigRecLoss': 0.00261, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_FC': 0.0}
178 saved {'val_OrigRecLoss': 0.0026, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
179 saved {'val_OrigRecLoss': 0.00259, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
180 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
181 saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
182 saved {'val_OrigRecLoss': 0.00255, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
183 saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_FC': 0.0}
184 saved {'val_OrigRecLoss': 0.00253, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
185 saved {'val_OrigRecLoss': 0.00252, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 1e-05}
186 saved {'val_OrigRecLoss': 0.00251, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
187 saved {'val_OrigRecLoss': 0.0025, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
188 not saved {'val_OrigRecLoss': 0.0025, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
189 saved {'val_OrigRecLoss': 0.00247, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
190 saved {'val_OrigRecLoss': 0.00247, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
191 saved {'val_OrigRecLoss': 0.00245, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
192 saved {'val_OrigRecLoss': 0.00245, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
193 saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
194 saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
195 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 1e-05}
196 saved {'val_OrigRecLoss': 0.0024, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
197 saved {'val_OrigRecLoss': 0.00239, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
198 not saved {'val_OrigRecLoss': 0.00239, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_FC': 0.0}
199 saved {'val_OrigRecLoss': 0.00237, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
200 not saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
201 saved {'val_OrigRecLoss': 0.00236, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
202 saved {'val_OrigRecLoss': 0.00234, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
203 not saved {'val_OrigRecLoss': 0.00236, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
204 saved {'val_OrigRecLoss': 0.00233, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 1e-05}
205 saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
206 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 1e-05}
207 not saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
208 saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
209 saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_FC': 1e-05}
210 not saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
211 saved {'val_OrigRecLoss': 0.00224, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
212 saved {'val_OrigRecLoss': 0.00224, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_FC': 0.0}
213 saved {'val_OrigRecLoss': 0.00223, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
214 saved {'val_OrigRecLoss': 0.00221, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_FC': 1e-05}
215 not saved {'val_OrigRecLoss': 0.00221, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
216 not saved {'val_OrigRecLoss': 0.00223, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
217 saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
218 saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
219 saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_FC': 0.0}
220 saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 1e-05}
221 not saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
222 saved {'val_OrigRecLoss': 0.00215, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_FC': 0.0}
223 not saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_FC': 0.0}
