115 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.40592, 'val_kl_Loss_FC': 1e-05}
116 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.09827, 'val_kl_Loss_FC': 0.0}
117 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.03342, 'val_kl_Loss_FC': 1e-05}
118 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.02039, 'val_kl_Loss_FC': 0.0}
119 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.99015, 'val_kl_Loss_FC': 0.0}
120 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.97927, 'val_kl_Loss_FC': 1e-05}
121 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.00058, 'val_kl_Loss_FC': 0.0}
122 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.9582, 'val_kl_Loss_FC': 0.0}
123 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.95184, 'val_kl_Loss_FC': 0.0}
124 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.94051, 'val_kl_Loss_FC': 1e-05}
125 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.94389, 'val_kl_Loss_FC': 1e-05}
126 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.90284, 'val_kl_Loss_FC': 0.0}
127 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.90882, 'val_kl_Loss_FC': 0.0}
128 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.88409, 'val_kl_Loss_FC': 0.0}
129 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.88006, 'val_kl_Loss_FC': 1e-05}
