154 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32077}
155 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31857}
156 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.34575}
157 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32268}
158 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32389}
159 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32438}
160 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33228}
161 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.35318}
162 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32532}
163 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33905}
164 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32489}
165 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32678}
166 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33394}
167 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33605}
168 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32644}
169 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32654}
170 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3393}
171 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.32402}
172 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32782}
173 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32349}
174 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3405}
175 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33547}
176 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3326}
177 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3277}
178 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32303}
179 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32214}
180 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33344}
181 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.32406}
182 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.3281}
183 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32305}
184 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32145}
185 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32451}
186 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31829}
187 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32572}
188 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32685}
189 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32594}
190 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.33144}
191 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32433}
192 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.38036}
193 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32307}
194 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31862}
195 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.34244}
196 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.32184}
197 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31764}
