MetricType,Model,Source,Type,Depth,LatDim,Comp,MP,AC,SS,RA,ISCOREam,ISCOREgm,ISCOREhm
matching_pursuit,ConVAE_II_30_VitalDB,VitalDB,II,,30,,0.010520379956327042,0.739254286570272,0.403007640820788,0.8705874896871783,0.5058424492586413,0.22855343074971085,0.03998548215685179
matching_pursuit,DiffWave_ART_Mimic,Mimic,ART,,0,,0.9347762830903095,0.04508367140751152,0.7691867230382511,0.9606086695038284,0.6774138367599751,0.420074491627342,0.15629984833954327
matching_pursuit,DiffWave_ART_VitalDB,VitalDB,ART,,0,,0.9191834805154451,0.05783929842836247,0.8409796072822344,0.9636547851379365,0.6954142928409945,0.4555992951917421,0.19413696109114745
matching_pursuit,DiffWave_II_Mimic,Mimic,II,,0,,0.8275911540110121,0.15600806494065958,0.9046220310818557,0.8796568365035116,0.6919695216342597,0.56615563356841,0.4056592657334607
matching_pursuit,DiffWave_II_VitalDB,VitalDB,II,,0,,0.5570207481039189,0.1252674378538898,0.8568552078901596,0.8929479464989093,0.6080228350867194,0.4806852408930811,0.3315339271321632
matching_pursuit,FACVAE_ART_30_Mimic,Mimic,ART,,30,,0.02472024965044972,0.5578639956892624,0.6415001120747751,0.9865564690907744,0.5526602066263154,0.3056503994546291,0.08925047150121326
matching_pursuit,FACVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.017105825591165136,0.5933293819266164,0.7017739544746224,0.9763943730475932,0.5721508837599993,0.2887789960358368,0.06390372792359972
matching_pursuit,FACVAE_II_30_Mimic,Mimic,II,,30,,0.006294532908302175,0.6442505405825397,0.16753924393723618,0.4600398784873691,0.3195310489788618,0.13296354418744818,0.02373004373625244
matching_pursuit,FACVAE_II_30_VitalDB,VitalDB,II,,30,,0.010133500504762138,0.7297754425558952,0.5177793346605513,0.8608391449588206,0.5296318556700073,0.23960940723458254,0.0387800385682572
matching_pursuit,TCVAE_ART_30_Mimic,Mimic,ART,,30,,0.007181170864070774,0.5949358106675819,0.6087516601013643,0.9835878630917204,0.5486141261811843,0.2248949340713005,0.02785645229783648
matching_pursuit,TCVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.036082083969437906,0.4353502088923124,0.7163887324848914,0.967054591087559,0.5387189041085502,0.32298512905752835,0.12329869096087019
matching_pursuit,TCVAE_II_30_Mimic,Mimic,II,,30,,0.07655017673167397,0.745470692743835,0.17154464947427128,0.0878352993241781,0.27035020456848957,0.17124021271114476,0.12650584645673893
matching_pursuit,TCVAE_II_30_VitalDB,VitalDB,II,,30,,0.049131142598173194,0.6065347479374822,0.4757361882801402,0.8289667321252863,0.4900922027352705,0.3292524082969145,0.15803576977862835
matching_pursuit,VDVAE_ART_30_Mimic,Mimic,ART,,30,,0.015366556522493857,0.4441060297392888,0.6314469865443308,0.9872831800083438,0.5195506882036144,0.2553938677161796,0.05720443548974776
matching_pursuit,VDVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.014408042376833463,0.5339280595016606,0.70541999463144,0.974795695291376,0.5571379479503275,0.2696884035983121,0.05425785523805374
matching_pursuit,VDVAE_II_30_Mimic,Mimic,II,,30,,0.022774263234596193,0.556437821524202,0.21649792525048972,0.4815249645936481,0.319308743650734,0.19064849494697977,0.07633285148754546
matching_pursuit,VDVAE_II_30_VitalDB,VitalDB,II,,30,,0.01486184807541191,0.7358597858283523,0.4730989772804379,0.8772644768873741,0.525271272017894,0.25955990710259025,0.055633622571862246
matching_pursuit,VDWave_ART_Mimic,Mimic,ART,,0,,0.9434223018364435,0.03837799525815798,0.7678396141242011,0.9608979068902463,0.6776344545272622,0.404281665574439,0.13577908836578045
matching_pursuit,VDWave_ART_VitalDB,VitalDB,ART,,0,,0.9269947167330261,0.04914664807000516,0.8416309943230605,0.9640791075332642,0.695462866664839,0.4384816148993606,0.16912281725890002
matching_pursuit,VDWave_II_Mimic,Mimic,II,,0,,0.8473668197302942,0.14595755775928818,0.9059350893742159,0.8824253430881828,0.6954212024879952,0.5607486982172643,0.389540624373015
matching_pursuit,VDWave_II_VitalDB,VitalDB,II,,0,,0.5635679015656535,0.12571356420545224,0.8582839881848987,0.8923703950901005,0.6099839622615262,0.48264314070656056,0.33292476196143894
matching_pursuit,Wavenet_ART_Mimic,Mimic,ART,,0,,0.0849752196103708,0.47437924800930115,0.7438252717967887,0.9667606001874164,0.5674850849009693,0.41262160360399697,0.24607905770896735
matching_pursuit,Wavenet_ART_VitalDB,VitalDB,ART,,0,,0.030399800139255695,0.3606377924128821,0.8026987544088421,0.9664325049353356,0.5400422129740788,0.3036802305674186,0.10540642983715792
matching_pursuit,Wavenet_II_Mimic,Mimic,II,,0,,0.00630538969832628,0.3720439066736151,0.5138336698601692,0.0682660536100339,0.24011225496053612,0.09524306684311959,0.022487441755667106
matching_pursuit,Wavenet_II_VitalDB,VitalDB,II,,0,,0.049639517998819827,0.45591598889097756,0.5022732809626641,0.6945138092304246,0.4255856492707215,0.29808034147122037,0.155222676341978
welch_evo,ConVAE_ART_30_Mimic,Mimic,ART,,30,,0.48061580460787134,0.6361554113670038,0.6821371956268993,0.9824704991898252,0.6953447276978999,0.6728033279328673,0.6518448083141343
welch_evo,ConVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.33038262170511834,0.7103331460775466,0.7568247085203371,0.9774215456114432,0.6937405054786113,0.645489409928447,0.5900580815999698
welch_evo,ConVAE_II_30_Mimic,Mimic,II,,30,,0.12790212874145568,0.7650126883232564,0.4965700349998501,0.425464917822434,0.4537374424717491,0.37918196157380374,0.2965196591257899
welch_evo,ConVAE_II_30_VitalDB,VitalDB,II,,30,,0.2569536166796019,0.7313705031102803,0.702080611778152,0.8705874896871783,0.6402480553138031,0.5821674162478537,0.5107228487217971
welch_evo,DiffWave_ART_Mimic,Mimic,ART,,0,,0.9049901795249338,0.10637712280924777,0.574813691056091,0.9606086695038284,0.6366974157235252,0.48016602546376835,0.30106420364897013
welch_evo,DiffWave_ART_VitalDB,VitalDB,ART,,0,,0.8569466419069012,0.08065054227845109,0.5718194175692248,0.9636547851379365,0.6182678467231284,0.4417589566322704,0.24460902596235023
welch_evo,DiffWave_II_Mimic,Mimic,II,,0,,0.9402759866401328,0.046612281664283835,0.8513118261354706,0.8796568365035116,0.6794642327358498,0.4256370396514046,0.16110482168536658
welch_evo,DiffWave_II_VitalDB,VitalDB,II,,0,,0.7449455215401055,0.036235435387955525,0.8461224796342665,0.8929479464989093,0.6300628457653092,0.37790213322511895,0.1280351404429016
welch_evo,FACVAE_ART_30_Mimic,Mimic,ART,,30,,0.4611771731713783,0.6957733864862021,0.7052920864403524,0.9865564690907744,0.7121997787971768,0.687395435331212,0.6625705862761276
welch_evo,FACVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.3603369155693994,0.6240840451421237,0.795377655968443,0.9763943730475932,0.6890482474318899,0.6464539936125914,0.6006935415021004
welch_evo,FACVAE_II_30_Mimic,Mimic,II,,30,,0.07657162408425633,0.7243038836469634,0.5011751147747907,0.4600398784873691,0.4405226252483449,0.3362740951441363,0.21494583654953453
welch_evo,FACVAE_II_30_VitalDB,VitalDB,II,,30,,0.16981973009655404,0.7560341634028395,0.7636544646820658,0.8608391449588206,0.63758687578507,0.5389979549578163,0.4131190581068579
welch_evo,TCVAE_ART_30_Mimic,Mimic,ART,,30,,0.19124320952355167,0.6651184340231336,0.6903646972786814,0.9835878630917204,0.6325785509792717,0.5421184477151856,0.43489458428660455
welch_evo,TCVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.34998884783338,0.45676550568455637,0.7833285818924918,0.967054591087559,0.6392843816244969,0.5899098086244703,0.5436841849667358
welch_evo,TCVAE_II_30_Mimic,Mimic,II,,30,,0.4864777981442592,0.8228408491763493,0.07485197077545136,0.0878352993241781,0.36800147935505945,0.226497179558879,0.14277790009008098
welch_evo,TCVAE_II_30_VitalDB,VitalDB,II,,30,,0.43919137832626853,0.557672906313251,0.7157175001187828,0.8289667321252863,0.6353871292208971,0.6174162027698344,0.5993768369858608
welch_evo,VDVAE_ART_30_Mimic,Mimic,ART,,30,,0.3610353002899007,0.5294586818463646,0.6997567959136379,0.9872831800083438,0.6443834895145618,0.6028269381170874,0.5633420123926036
