166 not saved {'val_OrigRecLoss': 0.01117, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.69448}
167 not saved {'val_OrigRecLoss': 0.01117, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.74568}
168 not saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.68171}
169 saved {'val_OrigRecLoss': 0.01102, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.67159}
170 saved {'val_OrigRecLoss': 0.0109, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.71751}
171 not saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.88652}
172 not saved {'val_OrigRecLoss': 0.01109, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.71987}
173 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.6596}
174 not saved {'val_OrigRecLoss': 0.01094, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.6543}
175 saved {'val_OrigRecLoss': 0.01088, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.70146}
176 saved {'val_OrigRecLoss': 0.01082, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.69931}
177 saved {'val_OrigRecLoss': 0.01078, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.67528}
178 saved {'val_OrigRecLoss': 0.01075, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.66761}
179 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.6656}
180 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.66619}
181 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.65887}
182 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.65291}
183 not saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.67243}
184 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.66781}
185 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.67702}
186 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.65447}
187 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.65481}
188 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.64888}
189 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.63206}
190 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.64603}
191 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.71317}
192 not saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.64967}
193 not saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.61603}
194 not saved {'val_OrigRecLoss': 0.01083, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.63333}
195 not saved {'val_OrigRecLoss': 0.01076, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.64771}
