145 not saved {'val_OrigRecLoss': 0.00112, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 1e-05}
146 not saved {'val_OrigRecLoss': 0.00112, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 0.0}
147 saved {'val_OrigRecLoss': 0.0011, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_FC': 0.0}
148 saved {'val_OrigRecLoss': 0.0011, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_FC': 2e-05}
149 not saved {'val_OrigRecLoss': 0.0011, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 0.0}
150 not saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_FC': 0.0}
151 not saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_FC': 0.0}
152 not saved {'val_OrigRecLoss': 0.00113, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 0.0}
153 not saved {'val_OrigRecLoss': 0.00116, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 2e-05}
154 not saved {'val_OrigRecLoss': 0.00111, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 0.0}
155 saved {'val_OrigRecLoss': 0.00105, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_FC': 0.0}
156 not saved {'val_OrigRecLoss': 0.00108, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_FC': 1e-05}
157 not saved {'val_OrigRecLoss': 0.00106, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_FC': 0.0}
158 not saved {'val_OrigRecLoss': 0.00115, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_FC': 1e-05}
159 not saved {'val_OrigRecLoss': 0.00106, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_FC': 1e-05}
160 not saved {'val_OrigRecLoss': 0.00114, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_FC': 1e-05}
161 not saved {'val_OrigRecLoss': 0.00113, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 0.0}
162 saved {'val_OrigRecLoss': 0.00105, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_FC': 1e-05}
163 not saved {'val_OrigRecLoss': 0.00109, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_FC': 0.0}
164 not saved {'val_OrigRecLoss': 0.00106, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 0.0}
165 not saved {'val_OrigRecLoss': 0.00106, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_FC': 0.0}
166 saved {'val_OrigRecLoss': 0.00105, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 0.0}
