182 not saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 0.0}
183 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 1e-05}
184 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
185 not saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 0.0}
186 saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
187 saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 1e-05}
188 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 1e-05}
189 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
190 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
191 saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
192 not saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
193 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 1e-05}
194 not saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
195 not saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 1e-05}
196 not saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
197 saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 0.0}
198 not saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
199 not saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 0.0}
200 not saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 0.0}
201 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
202 not saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 1e-05}
203 saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 0.0}
204 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_FC': 0.0}
205 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 0.0}
206 saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
207 not saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
208 saved {'val_OrigRecLoss': 0.00116, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 0.0}
209 not saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 0.0}
210 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 0.0}
211 not saved {'val_OrigRecLoss': 0.00117, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 1e-05}
212 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 1e-05}
213 saved {'val_OrigRecLoss': 0.00115, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_FC': 1e-05}
