176 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 3e-05}
177 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 2e-05}
178 not saved {'val_OrigRecLoss': 0.00073, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 6e-05}
179 not saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 1e-05}
180 saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 5e-05}
181 not saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 4e-05}
182 not saved {'val_OrigRecLoss': 0.00082, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 3e-05}
183 not saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 6e-05}
184 not saved {'val_OrigRecLoss': 0.00073, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 3e-05}
185 saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 3e-05}
186 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 4e-05}
187 not saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 8e-05}
188 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 4e-05}
189 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 1e-05}
190 not saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 2e-05}
191 not saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 1e-05}
192 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 3e-05}
193 not saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 5e-05}
194 not saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_FC': 4e-05}
195 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 1e-05}
196 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 1e-05}
197 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 3e-05}
198 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 3e-05}
199 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 2e-05}
200 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 1e-05}
201 not saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 5e-05}
202 not saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 2e-05}
203 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 4e-05}
204 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 3e-05}
205 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 2e-05}
206 not saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_FC': 2e-05}
207 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 2e-05}
208 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_FC': 1e-05}
209 not saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 2e-05}
210 not saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 1e-05}
211 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 2e-05}
212 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 3e-05}
213 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 1e-05}
214 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 3e-05}
215 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 1e-05}
216 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 1e-05}
217 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 2e-05}
218 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 2e-05}
219 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_FC': 1e-05}
220 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 0.0}
