86 saved {'val_OrigRecLoss': 0.00196, 'val_FeatRecLoss': 0.0059, 'val_kl_Loss_Z': 0.16756, 'val_kl_Loss_FC': 0.0}
87 saved {'val_OrigRecLoss': 0.0019, 'val_FeatRecLoss': 0.00549, 'val_kl_Loss_Z': 0.2752, 'val_kl_Loss_FC': 0.0}
88 saved {'val_OrigRecLoss': 0.00196, 'val_FeatRecLoss': 0.00474, 'val_kl_Loss_Z': 0.59983, 'val_kl_Loss_FC': 0.0}
89 saved {'val_OrigRecLoss': 0.0019, 'val_FeatRecLoss': 0.00356, 'val_kl_Loss_Z': 1.4769, 'val_kl_Loss_FC': 2e-05}
90 saved {'val_OrigRecLoss': 0.002, 'val_FeatRecLoss': 0.00252, 'val_kl_Loss_Z': 1.65817, 'val_kl_Loss_FC': 1e-05}
91 saved {'val_OrigRecLoss': 0.00208, 'val_FeatRecLoss': 0.00212, 'val_kl_Loss_Z': 1.75297, 'val_kl_Loss_FC': 1e-05}
92 saved {'val_OrigRecLoss': 0.00189, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 1.64837, 'val_kl_Loss_FC': 0.0}
93 not saved {'val_OrigRecLoss': 0.00215, 'val_FeatRecLoss': 0.00179, 'val_kl_Loss_Z': 1.63427, 'val_kl_Loss_FC': 0.0}
94 saved {'val_OrigRecLoss': 0.00189, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 1.62674, 'val_kl_Loss_FC': 1e-05}
95 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 1.67118, 'val_kl_Loss_FC': 0.0}
96 saved {'val_OrigRecLoss': 0.00187, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 1.56115, 'val_kl_Loss_FC': 0.0}
97 not saved {'val_OrigRecLoss': 0.00187, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 1.60273, 'val_kl_Loss_FC': 0.0}
98 saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 1.62634, 'val_kl_Loss_FC': 0.0}
99 not saved {'val_OrigRecLoss': 0.00189, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 1.58519, 'val_kl_Loss_FC': 1e-05}
100 saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 1.60076, 'val_kl_Loss_FC': 0.0}
