159 not saved {'val_OrigRecLoss': 0.00449, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.76255}
160 not saved {'val_OrigRecLoss': 0.00452, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.78314}
161 saved {'val_OrigRecLoss': 0.00438, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.77415}
162 not saved {'val_OrigRecLoss': 0.00447, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75937}
163 not saved {'val_OrigRecLoss': 0.00439, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.78538}
164 saved {'val_OrigRecLoss': 0.00438, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.7524}
165 not saved {'val_OrigRecLoss': 0.00439, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.76619}
166 saved {'val_OrigRecLoss': 0.00434, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.75994}
167 saved {'val_OrigRecLoss': 0.0043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73808}
168 not saved {'val_OrigRecLoss': 0.0044, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75308}
169 not saved {'val_OrigRecLoss': 0.00449, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74286}
170 not saved {'val_OrigRecLoss': 0.00433, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74785}
171 saved {'val_OrigRecLoss': 0.0043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.76682}
172 saved {'val_OrigRecLoss': 0.00427, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74106}
173 not saved {'val_OrigRecLoss': 0.00443, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.73845}
174 saved {'val_OrigRecLoss': 0.00426, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.72881}
175 not saved {'val_OrigRecLoss': 0.0043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73549}
176 not saved {'val_OrigRecLoss': 0.00426, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73606}
177 not saved {'val_OrigRecLoss': 0.00429, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.74792}
178 not saved {'val_OrigRecLoss': 0.00429, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.75334}
179 saved {'val_OrigRecLoss': 0.00424, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73263}
180 saved {'val_OrigRecLoss': 0.00421, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.745}
181 not saved {'val_OrigRecLoss': 0.00422, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75063}
182 not saved {'val_OrigRecLoss': 0.00423, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73533}
183 saved {'val_OrigRecLoss': 0.00418, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.73466}
184 saved {'val_OrigRecLoss': 0.00417, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.7618}
185 saved {'val_OrigRecLoss': 0.0041, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.71663}
186 not saved {'val_OrigRecLoss': 0.00418, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.71607}
187 not saved {'val_OrigRecLoss': 0.00416, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.71321}
188 saved {'val_OrigRecLoss': 0.00401, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.77409}
189 not saved {'val_OrigRecLoss': 0.00411, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.75302}
190 not saved {'val_OrigRecLoss': 0.00405, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74171}
191 not saved {'val_OrigRecLoss': 0.00405, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.86541}
192 saved {'val_OrigRecLoss': 0.004, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.71145}
193 saved {'val_OrigRecLoss': 0.00394, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74096}
194 saved {'val_OrigRecLoss': 0.00394, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.72588}
195 not saved {'val_OrigRecLoss': 0.00411, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.71138}
196 not saved {'val_OrigRecLoss': 0.00395, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75328}
197 saved {'val_OrigRecLoss': 0.00389, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.71201}
198 saved {'val_OrigRecLoss': 0.00388, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.72287}
199 saved {'val_OrigRecLoss': 0.00388, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.70384}
200 saved {'val_OrigRecLoss': 0.00378, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.70169}
201 not saved {'val_OrigRecLoss': 0.00382, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.69814}
202 not saved {'val_OrigRecLoss': 0.00383, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.69392}
203 saved {'val_OrigRecLoss': 0.00378, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.71899}
204 saved {'val_OrigRecLoss': 0.00377, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.69917}
205 saved {'val_OrigRecLoss': 0.00376, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.70712}
206 not saved {'val_OrigRecLoss': 0.00385, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.701}
207 saved {'val_OrigRecLoss': 0.00368, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.72801}
208 not saved {'val_OrigRecLoss': 0.00375, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74343}
209 not saved {'val_OrigRecLoss': 0.00369, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.69972}
210 not saved {'val_OrigRecLoss': 0.00371, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75536}
211 saved {'val_OrigRecLoss': 0.00365, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75365}
212 saved {'val_OrigRecLoss': 0.00365, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74956}
213 not saved {'val_OrigRecLoss': 0.00373, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.7452}
214 not saved {'val_OrigRecLoss': 0.00366, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.88373}
215 saved {'val_OrigRecLoss': 0.00364, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.74658}
216 saved {'val_OrigRecLoss': 0.00357, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.75531}
217 not saved {'val_OrigRecLoss': 0.00363, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.73538}
218 saved {'val_OrigRecLoss': 0.00352, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.75304}
219 not saved {'val_OrigRecLoss': 0.00364, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.79635}
220 saved {'val_OrigRecLoss': 0.00349, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.73409}
